Frame 0:
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (877.94, 307.33, 895.43, 388.96)
  Clase: BALON, Confianza: 0.89, Coordenadas: (149.86, 652.27, 165.52, 684.16)
Frame 5:
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (952.75, 394.07, 993.13, 580.54)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (52.48, 467.20, 112.12, 725.72)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (657.01, 313.73, 683.54, 428.89)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (878.22, 350.57, 903.87, 491.93)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (1177.08, 378.53, 1198.81, 491.91)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (756.55, 305.84, 777.57, 409.52)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (499.26, 326.53, 525.34, 451.56)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.57, 316.40, 1045.75, 386.04)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (615.64, 351.03, 645.24, 505.28)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (602.86, 337.49, 630.02, 470.16)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (952.37, 340.59, 971.64, 426.51)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (877.89, 307.32, 895.41, 389.44)
  Clase: BALON, Confianza: 0.89, Coordenadas: (149.90, 652.44, 165.54, 684.05)
Frame 6:
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (953.65, 392.02, 992.62, 580.42)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (52.78, 468.75, 112.24, 726.04)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (878.30, 353.57, 904.78, 494.65)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (1177.58, 378.35, 1198.25, 491.54)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (499.62, 326.80, 525.36, 450.88)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (755.00, 305.81, 777.09, 409.35)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (657.75, 313.09, 680.69, 429.64)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.69, 316.30, 1045.51, 386.26)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (615.99, 350.87, 645.00, 504.81)
  Clase: BALON, Confianza: 0.90, Coordenadas: (149.92, 651.56, 166.50, 682.14)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (878.77, 307.21, 896.83, 389.41)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (601.71, 338.13, 629.99, 469.28)
  Clase: JUGADOR, Confianza: 0.88, Coordenadas: (950.84, 342.14, 968.51, 427.11)
Frame 7:
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (953.70, 392.01, 992.80, 580.44)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (52.79, 468.81, 112.63, 725.95)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (878.33, 353.46, 904.75, 494.75)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (1177.60, 378.33, 1198.25, 491.58)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (499.66, 326.81, 525.42, 450.86)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (755.01, 305.86, 777.10, 409.41)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (657.78, 313.08, 680.76, 429.60)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.72, 316.56, 1045.47, 386.22)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (616.06, 350.84, 644.99, 504.71)
  Clase: BALON, Confianza: 0.90, Coordenadas: (150.12, 651.68, 166.67, 682.20)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (878.73, 307.23, 896.82, 389.09)
